uuid,Keywords,label
0,Tobacco Consumption and High-Sensitivity Cardiac Troponin I in the General Population: The HUNT Study,1
1,Approaching towards sustainable supply chain under the spotlight of business intelligence,1
2,Does globalization matter for ecological footprint in Turkey? Evidence from dual adjustment approach,0
3,Myths and Misconceptions About University Student Volunteering: Development and Perpetuation,1
4,Antioxidant Status of Rat Liver Mitochondria under Conditions of Moderate Hypothermia of Different Duration,1
5,Business transformation in an age of turbulence - Lessons learned from COVID-19,0
6,Ameliorative effects of ribes rubrum oil against gastric ulcers caused by indomethacin in experimental models,1
7,Reconstruction and Exploratory Analysis of mTORC1 Signaling Pathway and Its Applications to Various Diseases Using Network-Based Approach,1
8,"Distribution, sources and human risk of perfluoroalkyl acids (PFAAs) in a receiving riverine environment of the Nanjing urban area, East China",1
9,Serum GDF-15 Predicts In-Hospital Mortality and Arrhythmic Risks in Patients With Acute Myocardial Infarction,1
10,The Economic Perspective of Food Poverty and (In)security: An Analytical Approach to Measuring and Estimation in Italy,1
11,Smart meter data-driven evaluation of operational demand response potential of residential air conditioning loads,0
12,"Modelling environmental degradation in South Africa: the effects of energy consumption, democracy, and globalization using innovation accounting tests",1
13,Energy Management Strategy in Dynamic Distribution Network Reconfiguration Considering Renewable Energy Resources and Storage,0
14,Axin2+ PDL Cells Directly Contribute to New Alveolar Bone Formation in Response to Orthodontic Tension Force,1
15,Research on the incorporation of untreated flue gas desulfurization gypsum into magnesium oxysulfate cement,0
16,Exploring indicators of circular economy adoption framework through a hybrid decision support approach,0
17,Artesunate induces substantial topological alterations in the SARS-CoV-2 Nsp1 protein structure,1
18,Porous Ti3C2Tx MXene Membranes for Highly Efficient Salinity Gradient Energy Harvesting,1
19,"A Novel, eco-friendly combined solar cooling and heating system, powered by hybrid Photovoltaic thermal (PVT) collector for domestic application",1
20,"Host phenotype and microbiome vary with infection status, parasite genotype, and parasite microbiome composition",1
21,"Systematic review on activity of liposomal encapsulated antioxidant, antibiotics, and antiviral agents",1
22,The Impact of Population Aging and Public Health Support on EU Labor Markets,1
23,Peer-to-peer electricity trading in grid-connected residential communities with household distributed photovoltaic,0
24,Associations Between Atrial Arrhythmias and Brain Amyloid Deposition: The ARIC-PET Study,1
25,An Efficient and Convenient Method for Isolation and Culturing of Neonatal Rat Cardiomyocytes,1
26,Piecewise Structural Equation Modeling of the Quantity Implicature in Child Language,1
27,Beyond return of spontaneous circulation: update on post-cardiac arrest management in the intensive care unit,1
28,"Potential innovation against Alzheimer's disorder: a tricomponent combination of natural antioxidants (vitamin E, quercetin, and basil oil) and the development of its intranasal delivery",1
29,A mathematical model of the rat kidney. IV. Whole kidney response to hyperkalemia,1
30,"The novel HLA-B*35:501 allele, identified by sanger dideoxy nucleotide sequencing in a Chinese individual",1
31,Molecular analysis of genes involved in chitin degradation from the chitinolytic bacterium Bacillus velezensis,1
32,Occam's Razor and Managing Acute Thrombosis in the COVID-19 Era,1
33,"﻿Phelypaeaboissierif.lutea (Orobanchaceae), a peculiar new form from Turkey and typification of the name of this species",1
34,Digestate management in polish farms as an element of the nutrient cycle,0
35,The political economy of coal in Poland: Drivers and barriers for a shift away from fossil fuels,0
36,Coordinated wind-thermal-energy storage offering strategy in energy and spinning reserve markets using a multi-stage model,0
37,Economics of energy and environmental efficiency: evidence from OECD countries,0
38,Total Knee Arthroplasty for Osteoarthritis in a Patient with Nail Patella Syndrome - A Case Report,1
39,Recent developments in the passive and hybrid thermal management techniques of lithium -ion batteries,0
40,Reconsidering the function of the xyloglucan endotransglucosylase/hydrolase family,1
41,The effects of carbon disulfide driven functionalization on graphene oxide for enhanced Pb(II) adsorption: Investigation of adsorption mechanism,1
42,Nanoparticles for active combination radio mitigating agents of zinc coumarate and zinc caffeinate in a rat model,1
43,"Relationships between Renewable Energy Consumption, Social Factors, and Health: A Panel Vector Auto Regression Analysis of a Cluster of 12 EU Countries",0
44,Potential and economic feasibility of wind energy in south West region of Algeria,0
45,New insights into aging-associated characteristics of female subcutaneous adipose tissue through integrative analysis of multi-omics data,1
46,Peer-to-peer energy trading potential: An assessment for the residential sector under different technology and tariff availabilities,0
47,"Keqinzhangia aquatica gen. et sp. nov. and Pseudocoronospora hainanense gen. et sp. nov., isolated from freshwater in southern China",1
48,Day -ahead energy management and feeder reconfiguration for microgrids with CCHP and energy storage systems,0
49,﻿New species and records of Chapsa (Graphidaceae) in China,1
50,Renewable Energy in Final Energy Consumption and Income in the EU-28 Countries,1
51,Energy consumption and financial development indicators nexuses in Asian economies: a dynamic seemingly unrelated regression approach,1
52,Analysis of asymmetries in the nexus among clean energy and environmental quality in Pakistan,1
53,﻿Typification of 14 names in the Dianthusvirgineus group (Caryophyllaceae),1
54,"The long-run and short-run influence of environmental pollution, energy consumption, and economic activities on health quality in emerging countries",1
55,Pulsed electric field promotes the growth metabolism of aerobic denitrifying bacteria Pseudomonas putida W207-14 by improving cell membrane permeability,1
56,"Innovation, foreign direct investment (FDI), and the energy-pollution-growth nexus in OECD region: a simultaneous equation modeling approach",0
57,A systemic review for measuring circular economy with multi-criteria methods,0
58,"Are all real-world objects created equal? Estimating the ""set-size"" of the search target in visual working memory",1
59,Prehospital Manual Ventilation: An NAEMSP Position Statement and Resource Document,1
